1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
79,452,2312,1807,253,3033,1615,1729,3399,1415,586,3370,3006,1307,152,589,0,0,0,0,0,0
92,536,2640,1946,313,3426,1830,2014,3896,1616,641,3547,3162,1445,196,617,0,0,0,0,0,0
87,531,2585,1915,307,3390,1801,1984,3845,1590,624,3502,3130,1437,193,610,0,0,0,0,0,0
89,530,2542,1903,300,3376,1792,1970,3809,1589,631,3481,3126,1431,192,613,0,0,0,0,0,0
86,530,2542,1906,300,3381,1794,1980,3819,1600,629,3483,3132,1436,193,612,0,0,0,0,0,0
88,539,2575,1918,303,3406,1803,2006,3860,1622,646,3529,3148,1448,198,617,0,0,0,0,0,0
91,560,2658,1964,313,3483,1838,2069,3987,1701,668,3599,3194,1482,205,628,0,0,0,0,0,0
102,626,2856,2059,340,3677,1931,2235,4263,1867,722,3774,3312,1536,228,645,0,0,0,0,0,0
111,661,2992,2110,364,3789,2017,2337,4460,1978,758,3942,3379,1569,247,666,0,0,0,0,0,0
112,690,3068,2148,357,3834,2055,2385,4548,2014,771,4013,3404,1595,262,669,0,0,0,0,0,0
107,706,3081,2153,365,3888,2069,2432,4651,2050,789,4093,3428,1616,257,672,0,0,0,0,0,0
110,696,3077,2178,367,3876,2068,2424,4668,2061,759,4021,3414,1614,257,664,0,0,0,0,0,0
105,691,3024,2132,356,3912,2045,2473,4671,2063,754,3986,3386,1633,268,678,0,0,0,0,0,0
107,701,3039,2137,361,3936,2058,2504,4798,2179,750,3961,3377,1662,280,670,0,0,0,0,0,0
105,662,3000,2117,364,3963,2056,2535,4844,2231,739,3891,3347,1677,287,666,0,0,0,0,0,0
103,662,2998,2108,361,3976,2064,2552,4971,2252,726,3888,3349,1675,298,671,0,0,0,0,0,0
105,714,3042,2151,376,4057,2083,2604,5012,2302,745,3930,3360,1700,307,675,0,0,0,0,0,0
115,736,3186,2176,382,4132,2128,2649,5052,2278,784,4067,3456,1693,291,686,0,0,0,0,0,0
132,786,3421,2263,391,4283,2266,2789,5271,2400,849,4246,3551,1749,306,701,0,0,0,0,0,0
140,826,3580,2345,423,4467,2319,2909,5500,2495,895,4396,3632,1785,322,706,0,0,0,0,0,0
135,869,3645,2381,425,4463,2354,2944,5554,2484,920,4448,3644,1788,318,712,0,0,0,0,0,0
131,822,3565,2339,413,4317,2293,2810,5354,2370,898,4371,3599,1737,308,715,0,0,0,0,0,0
126,759,3287,2230,381,4073,2159,2566,4913,2150,819,4136,3480,1659,274,675,0,0,0,0,0,0
107,649,2952,2072,342,3735,1979,2283,4392,1874,731,3823,3333,1529,238,652,0,0,0,0,0,0
91,570,2674,1978,313,3505,1847,2066,4003,1688,664,3591,3176,1466,204,623,0,0,0,0,0,0
87,552,2611,1931,306,3424,1817,1995,3874,1609,642,3516,3139,1437,198,616,0,0,0,0,0,0
86,541,2577,1916,301,3387,1795,1975,3835,1599,636,3476,3124,1429,194,611,0,0,0,0,0,0
85,537,2562,1910,301,3378,1791,1968,3824,1588,635,3466,3122,1432,194,613,0,0,0,0,0,0
85,543,2566,1912,302,3379,1795,1974,3836,1602,634,3471,3123,1436,196,613,0,0,0,0,0,0
88,549,2588,1928,305,3413,1807,2000,3882,1623,646,3508,3146,1443,200,616,0,0,0,0,0,0
92,568,2673,1981,316,3493,1846,2061,4004,1694,658,3576,3188,1471,209,627,0,0,0,0,0,0
97,628,2872,2060,337,3654,1946,2211,4299,1842,727,3760,3282,1521,233,643,0,0,0,0,0,0
102,691,3020,2119,346,3766,2009,2327,4464,1942,765,3912,3373,1566,242,663,0,0,0,0,0,0
108,733,3094,2145,357,3853,2068,2376,4563,2014,788,3971,3414,1595,248,677,0,0,0,0,0,0
112,731,3103,2137,374,3898,2066,2430,4627,2081,783,4030,3441,1617,259,676,0,0,0,0,0,0
112,715,3073,2158,371,3936,2066,2454,4726,2104,778,3982,3409,1621,268,673,0,0,0,0,0,0
113,711,3056,2140,361,3951,2078,2506,4888,2154,775,3975,3396,1658,268,679,0,0,0,0,0,0
114,698,3047,2136,360,4010,2065,2588,5111,2251,756,3959,3395,1687,281,689,0,0,0,0,0,0
115,692,2972,2122,357,4043,2031,2593,5159,2280,734,3891,3368,1723,290,677,0,0,0,0,0,0
111,674,2947,2113,365,4011,2047,2577,5065,2299,730,3869,3334,1733,299,684,0,0,0,0,0,0
114,689,3038,2148,362,4056,2081,2629,5125,2332,762,3937,3373,1745,303,694,0,0,0,0,0,0
132,756,3233,2210,379,4115,2150,2654,5176,2336,803,4087,3450,1730,300,696,0,0,0,0,0,0
130,795,3403,2276,399,4279,2258,2793,5389,2454,860,4315,3543,1776,314,710,0,0,0,0,0,0
143,837,3618,2356,414,4455,2354,2899,5553,2551,919,4428,3624,1801,322,715,0,0,0,0,0,0
139,857,3682,2371,421,4480,2385,2922,5583,2573,938,4467,3646,1806,327,722,0,0,0,0,0,0
130,836,3569,2321,407,4322,2305,2814,5346,2407,904,4374,3595,1746,308,706,0,0,0,0,0,0
124,750,3291,2226,386,4043,2171,2592,4909,2180,829,4113,3460,1660,278,687,0,0,0,0,0,0
106,642,2948,2069,344,3729,1989,2281,4381,1897,725,3825,3279,1551,233,652,0,0,0,0,0,0
91,588,2692,1972,312,3477,1850,2076,3990,1667,665,3591,3152,1459,200,627,0,0,0,0,0,0
87,559,2600,1922,306,3414,1791,2012,3873,1589,636,3508,3114,1437,192,621,0,0,0,0,0,0
86,547,2572,1909,304,3394,1779,1990,3835,1564,625,3475,3101,1434,188,619,0,0,0,0,0,0
85,542,2562,1908,302,3388,1771,1983,3823,1569,624,3473,3096,1421,188,619,0,0,0,0,0,0
89,558,2568,1917,303,3392,1768,1992,3820,1562,626,3483,3098,1422,191,620,0,0,0,0,0,0
87,563,2598,1936,309,3424,1779,2018,3866,1571,637,3507,3119,1432,191,624,0,0,0,0,0,0
94,594,2673,1972,318,3493,1823,2080,3982,1644,665,3608,3181,1459,201,635,0,0,0,0,0,0
100,641,2877,2051,342,3675,1931,2229,4266,1806,717,3766,3268,1512,220,651,0,0,0,0,0,0
111,686,3018,2115,359,3784,2013,2341,4444,1933,753,3919,3350,1569,237,662,0,0,0,0,0,0
110,732,3068,2128,361,3845,2043,2401,4574,2027,772,3997,3406,1603,252,674,0,0,0,0,0,0
110,739,3116,2152,363,3898,2069,2423,4651,2127,790,4029,3413,1613,269,678,0,0,0,0,0,0
114,720,3077,2157,365,3914,2071,2432,4722,2151,784,4004,3396,1642,274,681,0,0,0,0,0,0
113,710,3055,2122,362,3934,2069,2478,4912,2185,774,3986,3386,1677,281,675,0,0,0,0,0,0
115,717,3048,2129,359,4023,2072,2573,5151,2216,762,3970,3390,1693,285,680,0,0,0,0,0,0
