1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
59,193,1446,750,254,1374,196,1510,1229,560,268,4128,3415,3139,483,3190,0,0,0,0,0,0
59,187,1445,759,258,1364,202,1544,1228,578,272,4137,3425,3160,487,3190,0,0,0,0,0,0
59,191,1427,749,256,1329,192,1505,1152,539,262,4106,3409,3127,482,3193,0,0,0,0,0,0
58,183,1403,735,252,1332,180,1474,1123,520,260,4094,3405,3109,477,3186,0,0,0,0,0,0
59,183,1396,737,252,1312,177,1472,1114,513,259,4094,3400,3110,478,3185,0,0,0,0,0,0
59,187,1416,742,254,1330,186,1490,1143,528,264,4107,3410,3115,485,3187,0,0,0,0,0,0
60,199,1447,750,256,1346,195,1515,1167,564,272,4138,3426,3127,489,3190,0,0,0,0,0,0
61,202,1459,763,262,1396,218,1551,1238,604,278,4162,3434,3151,486,3191,0,0,0,0,0,0
60,215,1512,771,264,1433,218,1600,1350,657,275,4172,3459,3153,491,3194,0,0,0,0,0,0
63,216,1538,793,265,1475,237,1679,1479,731,285,4198,3477,3199,506,3207,0,0,0,0,0,0
64,230,1567,794,277,1524,254,1716,1516,787,295,4254,3491,3212,516,3210,0,0,0,0,0,0
64,225,1566,796,283,1569,255,1731,1540,786,301,4250,3500,3227,509,3201,0,0,0,0,0,0
64,233,1587,802,276,1539,255,1689,1499,739,295,4243,3503,3199,504,3202,0,0,0,0,0,0
65,220,1572,792,276,1511,250,1687,1445,726,291,4230,3497,3179,504,3207,0,0,0,0,0,0
64,212,1508,783,268,1468,236,1644,1423,732,286,4186,3468,3179,503,3200,0,0,0,0,0,0
62,218,1505,793,272,1460,226,1637,1400,731,296,4208,3470,3176,509,3198,0,0,0,0,0,0
63,212,1543,797,273,1499,237,1653,1426,730,284,4213,3478,3189,502,3201,0,0,0,0,0,0
65,229,1547,814,274,1504,253,1663,1437,723,295,4242,3497,3191,498,3200,0,0,0,0,0,0
64,235,1545,790,268,1496,259,1700,1402,712,303,4242,3479,3202,507,3199,0,0,0,0,0,0
61,212,1507,776,264,1458,240,1653,1391,701,287,4195,3461,3190,493,3201,0,0,0,0,0,0
65,213,1538,793,268,1510,243,1674,1389,673,285,4195,3462,3224,503,3195,0,0,0,0,0,0
67,214,1524,777,267,1470,233,1645,1421,691,276,4207,3455,3176,494,3196,0,0,0,0,0,0
62,208,1502,760,265,1442,222,1626,1363,678,274,4194,3461,3181,495,3192,0,0,0,0,0,0
61,200,1466,754,265,1390,203,1596,1283,653,268,4151,3446,3151,497,3189,0,0,0,0,0,0
61,190,1434,752,260,1371,194,1531,1221,583,264,4122,3414,3141,485,3188,0,0,0,0,0,0
59,187,1415,742,253,1345,185,1493,1174,548,269,4106,3407,3122,481,3185,0,0,0,0,0,0
59,184,1405,738,253,1323,179,1479,1129,529,260,4096,3401,3119,480,3185,0,0,0,0,0,0
58,183,1397,735,252,1314,177,1467,1114,510,259,4088,3398,3111,479,3184,0,0,0,0,0,0
59,184,1400,736,252,1313,177,1471,1108,508,260,4089,3400,3110,478,3185,0,0,0,0,0,0
59,187,1407,742,254,1330,186,1488,1142,528,263,4104,3411,3118,479,3187,0,0,0,0,0,0
60,193,1431,760,256,1370,194,1519,1184,563,269,4121,3419,3134,489,3189,0,0,0,0,0,0
64,202,1459,766,259,1409,204,1575,1264,597,275,4156,3446,3137,488,3192,0,0,0,0,0,0
65,210,1504,782,261,1461,216,1609,1325,651,282,4170,3455,3151,495,3195,0,0,0,0,0,0
62,225,1534,789,274,1506,241,1677,1418,707,286,4220,3480,3210,504,3195,0,0,0,0,0,0
68,239,1562,803,276,1517,259,1679,1466,771,292,4263,3491,3227,507,3206,0,0,0,0,0,0
63,238,1553,802,281,1543,257,1707,1516,761,291,4260,3493,3220,510,3202,0,0,0,0,0,0
65,219,1549,794,274,1532,246,1712,1504,750,292,4249,3505,3205,500,3206,0,0,0,0,0,0
65,227,1551,795,274,1485,229,1669,1478,752,296,4220,3491,3199,503,3205,0,0,0,0,0,0
62,239,1519,785,271,1479,228,1659,1437,697,288,4196,3477,3190,498,3198,0,0,0,0,0,0
61,214,1527,781,272,1482,229,1639,1405,706,285,4195,3463,3223,496,3199,0,0,0,0,0,0
62,218,1536,781,270,1496,237,1647,1439,692,290,4211,3476,3194,496,3196,0,0,0,0,0,0
68,222,1559,793,277,1516,257,1662,1475,720,305,4248,3488,3204,505,3200,0,0,0,0,0,0
66,223,1547,804,268,1494,255,1672,1437,725,298,4240,3490,3171,515,3206,0,0,0,0,0,0
69,208,1516,774,263,1474,235,1648,1371,675,283,4195,3462,3172,507,3200,0,0,0,0,0,0
61,215,1529,795,268,1503,230,1664,1389,645,278,4201,3458,3165,500,3197,0,0,0,0,0,0
61,219,1502,785,259,1526,218,1665,1433,711,276,4182,3452,3189,495,3196,0,0,0,0,0,0
60,211,1491,784,265,1469,226,1630,1390,661,273,4181,3440,3169,493,3193,0,0,0,0,0,0
61,199,1464,767,262,1412,228,1582,1270,607,270,4154,3433,3141,492,3189,0,0,0,0,0,0
59,191,1442,747,255,1357,203,1535,1222,566,267,4126,3415,3124,489,3188,0,0,0,0,0,0
64,187,1414,742,259,1331,191,1502,1167,537,263,4111,3408,3113,485,3186,0,0,0,0,0,0
64,184,1415,743,253,1324,180,1480,1125,529,262,4102,3402,3112,480,3186,0,0,0,0,0,0
58,183,1405,736,252,1336,179,1465,1120,515,259,4091,3398,3109,478,3186,0,0,0,0,0,0
59,183,1399,738,252,1317,179,1468,1119,515,259,4092,3400,3110,479,3185,0,0,0,0,0,0
59,189,1414,741,254,1327,186,1485,1138,533,265,4108,3408,3118,479,3187,0,0,0,0,0,0
60,199,1428,752,256,1357,194,1521,1196,562,269,4126,3423,3138,483,3190,0,0,0,0,0,0
64,206,1449,761,263,1387,206,1541,1231,578,273,4142,3443,3132,484,3191,0,0,0,0,0,0
65,213,1473,796,264,1414,230,1598,1319,666,278,4164,3443,3160,493,3194,0,0,0,0,0,0
62,233,1515,788,269,1493,231,1664,1421,711,303,4205,3466,3204,499,3201,0,0,0,0,0,0
64,220,1584,806,276,1501,245,1721,1507,767,313,4265,3505,3200,504,3199,0,0,0,0,0,0
65,227,1544,810,276,1526,264,1702,1458,792,298,4248,3500,3203,505,3205,0,0,0,0,0,0
69,232,1570,800,276,1542,246,1694,1456,776,298,4236,3498,3194,509,3203,0,0,0,0,0,0
64,226,1536,804,268,1499,243,1681,1458,737,297,4228,3489,3183,505,3198,0,0,0,0,0,0
62,222,1529,785,272,1487,239,1653,1395,706,288,4211,3466,3204,502,3198,0,0,0,0,0,0
64,218,1510,783,273,1472,233,1622,1403,709,280,4208,3467,3175,496,3202,0,0,0,0,0,0
62,228,1523,782,275,1473,238,1632,1385,718,288,4220,3473,3187,500,3202,0,0,0,0,0,0
64,228,1555,794,272,1509,243,1683,1477,739,296,4255,3502,3194,503,3203,0,0,0,0,0,0
64,233,1535,798,271,1515,250,1653,1431,717,294,4235,3483,3200,500,3201,0,0,0,0,0,0
61,217,1509,777,266,1460,227,1657,1376,674,283,4211,3464,3177,495,3195,0,0,0,0,0,0
62,227,1518,788,271,1470,230,1649,1412,691,296,4197,3445,3174,506,3199,0,0,0,0,0,0
60,211,1514,783,259,1491,255,1661,1406,695,290,4195,3455,3193,500,3193,0,0,0,0,0,0
60,212,1500,772,272,1501,255,1604,1358,652,282,4185,3450,3210,500,3196,0,0,0,0,0,0
60,203,1465,760,267,1423,220,1581,1316,622,269,4149,3435,3139,489,3192,0,0,0,0,0,0
59,193,1427,760,260,1394,195,1539,1215,591,267,4119,3422,3139,481,3188,0,0,0,0,0,0
59,185,1409,746,253,1340,183,1507,1169,566,268,4103,3407,3130,480,3186,0,0,0,0,0,0
59,188,1400,740,253,1322,181,1479,1143,535,260,4093,3404,3117,479,3185,0,0,0,0,0,0
58,183,1397,735,252,1318,180,1470,1111,512,259,4091,3398,3112,478,3184,0,0,0,0,0,0
59,183,1399,740,252,1316,181,1469,1110,513,259,4092,3402,3112,478,3185,0,0,0,0,0,0
59,187,1414,741,254,1335,185,1482,1137,539,263,4113,3409,3119,483,3187,0,0,0,0,0,0
60,194,1441,751,257,1357,192,1518,1197,571,272,4133,3424,3132,484,3189,0,0,0,0,0,0
63,209,1471,758,258,1430,202,1575,1289,601,279,4166,3447,3142,488,3191,0,0,0,0,0,0
65,208,1489,769,261,1431,219,1627,1350,648,278,4180,3472,3157,494,3194,0,0,0,0,0,0
