Node In,Node Out,Max Power Flow [MW],Rated Power Flow [MW],Reactance [p.u.],Existing Units [no.],Max New Units [no.],Length [m],ActualMW
1,2,1356,1356,0.466,1,0,115000,452
2,11,1512,1512,0.466,1,0,103000,504
11,17,546,546,0.466,1,0,285000,182
2,12,660,660,0.466,1,0,236000,220
11,12,729,729,0.466,1,0,214000,243
11,16,837,837,0.466,1,0,186000,279
16,18,1731,1731,0.466,1,0,90000,577
16,12,1155,1155,0.466,1,0,135000,385
16,14,288,288,0.466,1,0,539000,96
16,13,513,513,0.466,1,0,303000,171
12,13,666,666,0.466,1,0,234000,222
12,4,780,780,0.466,1,0,200000,260
12,3,1245,1245,0.466,1,0,125000,415
3,4,1128,1128,0.466,1,0,138000,376
4,13,1443,1443,0.466,1,0,108000,481
13,9,657,657,0.466,1,0,237000,219
4,5,1038,1038,0.466,1,0,150000,346
5,9,906,906,0.466,1,0,172000,302
9,14,795,795,0.466,1,0,196000,265
9,6,5025,5025,0.466,1,0,31000,1675
6,8,1770,1770,0.466,1,0,88000,590
9,8,2076,2076,0.466,1,0,75000,692
8,10,3540,3540,0.466,1,0,44000,1180
8,7,2514,2514,0.466,1,0,62000,838
10,7,4581,4581,0.466,1,0,34000,1527
7,15,1416,1416,0.466,1,0,110000,472
10,15,1557,1557,0.466,1,0,100000,519
15,20,1557,1557,0.466,1,0,100000,519
15,19,876,876,0.466,1,0,178000,292
14,19,1557,1557,0.466,1,0,100000,519
10,14,945,945,0.466,1,0,165000,315
21,1,1200,1200,0.466,1,0,31000,400
22,4,1200,1200,0.466,1,0,31000,400
