Node In,Node Out,Max Power Flow [MW],Rated Power Flow [MW],Reactance [p.u.],Existing Units [no.],Max New Units [no.],Length [m],ActualMW
10,110,4451.199253,4451.199253,0.466,1,0,285836.0118,0
10,168,144.8479449,144.8479449,0.466,1,0,173060.5129,0
10,20,1629.539381,1629.539381,0.466,1,0,312242.4608,0
10,OR2,1194.995546,1194.995546,0.466,1,0,368494.63,0
10,US0,3150.442802,3150.442802,0.466,1,0,271495.2378,0
100,101,1629.539381,1629.539381,0.466,1,0,136852.3221,0
100,140,144.8479449,144.8479449,0.466,1,0,241397.0197,0
100,150,10097.39405,10097.39405,0.466,1,0,141499.3432,0
100,1612,144.8479449,144.8479449,0.466,1,0,134410.424,0
100,70,13504.19581,13504.19581,0.466,1,0,25273.91959,0
101,140,4596.047198,4596.047198,0.466,1,0,105734.9655,0
101,150,11002.69371,11002.69371,0.466,1,0,185831.4106,0
101,1612,289.6958899,289.6958899,0.466,1,0,78803.72458,0
101,166,2788.32294,2788.32294,0.466,1,0,42638.13367,0
101,70,289.6958899,289.6958899,0.466,1,0,149031.0465,0
101,81,1919.23527,1919.23527,0.466,1,0,57751.43129,0
101,91,8036.18589,8036.18589,0.466,1,0,72671.85391,0
110,121,19147.51556,19147.51556,0.466,1,0,151383.6123,0
110,122,5501.346854,5501.346854,0.466,1,0,221618.8893,0
110,161,1339.843491,1339.843491,0.466,1,0,157828.4733,0
110,163,2100.295202,2100.295202,0.466,1,0,217668.4205,0
110,165,3440.138692,3440.138692,0.466,1,0,75860.09619,0
110,168,1194.995546,1194.995546,0.466,1,0,257629.0809,0
110,20,4451.199253,4451.199253,0.466,1,0,172457.7717,0
110,NV1,4451.199253,4451.199253,0.466,1,0,244583.0747,0
110,OR2,17949.64496,17949.64496,0.466,1,0,509682.9874,0
120,121,5646.194799,5646.194799,0.466,1,0,145532.4881,0
120,122,1919.23527,1919.23527,0.466,1,0,127911.2435,0
120,130,5791.042744,5791.042744,0.466,1,0,245679.6523,0
120,169,1194.995546,1194.995546,0.466,1,0,112703.8601,0
120,40,1484.691436,1484.691436,0.466,1,0,124011.2243,0
121,122,10350.87796,10350.87796,0.466,1,0,94393.48782,0
121,161,579.3917797,579.3917797,0.466,1,0,105612.5916,0
121,165,905.2996558,905.2996558,0.466,1,0,193878.8632,0
121,30,905.2996558,905.2996558,0.466,1,0,165937.8488,0
122,20,6080.738634,6080.738634,0.466,1,0,131532.1342,0
122,30,14156.01156,14156.01156,0.466,1,0,71713.65778,0
122,40,4200.590403,4200.590403,0.466,1,0,127787.8431,0
122,US0,289.6958899,289.6958899,0.466,1,0,445291.8735,0
130,140,4451.199253,4451.199253,0.466,1,0,308441.4677,0
130,160,11147.54165,11147.54165,0.466,1,0,225265.0237,0
130,1610,1629.539381,1629.539381,0.466,1,0,174828.7032,0
130,162,1484.691436,1484.691436,0.466,1,0,150613.7136,0
130,167,1484.691436,1484.691436,0.466,1,0,177535.2232,0
130,30,4596.047198,4596.047198,0.466,1,0,353550.942,0
130,40,5646.194799,5646.194799,0.466,1,0,277650.8419,0
130,50,4885.743088,4885.743088,0.466,1,0,195662.9096,0
130,61,4451.199253,4451.199253,0.466,1,0,268710.6081,0
130,90,905.2996558,905.2996558,0.466,1,0,273994.7691,0
140,150,2389.991091,2389.991091,0.466,1,0,254902.7663,0
140,160,4019.530472,4019.530472,0.466,1,0,151217.3108,0
140,1610,10426.17698,10426.17698,0.466,1,0,133728.4066,0
140,1612,289.6958899,289.6958899,0.466,1,0,139489.3884,0
140,1613,2389.991091,2389.991091,0.466,1,0,106238.7139,0
140,164,1955.447257,1955.447257,0.466,1,0,80917.05849,0
140,166,2353.779105,2353.779105,0.466,1,0,63324.9391,0
140,90,144.8479449,144.8479449,0.466,1,0,150221.3331,0
140,92,4451.199253,4451.199253,0.466,1,0,125039.2826,0
140,NV0,10531.93789,10531.93789,0.466,1,0,336199.829,0
150,1612,2534.839036,2534.839036,0.466,1,0,116751.6487,0
150,NV0,289.6958899,289.6958899,0.466,1,0,397582.5215,0
150,US0,11103.28256,11103.28256,0.466,1,0,1252316.237,0
160,1610,1194.995546,1194.995546,0.466,1,0,111723.7563,0
160,1613,1194.995546,1194.995546,0.466,1,0,71647.06195,0
160,164,144.8479449,144.8479449,0.466,1,0,117398.7985,0
160,61,289.6958899,289.6958899,0.466,1,0,73486.49475,0
160,90,6445.73355,6445.73355,0.466,1,0,49112.97565,0
160,91,4451.199253,4451.199253,0.466,1,0,122580.3427,0
160,92,8902.398506,8902.398506,0.466,1,0,87017.30124,0
161,162,144.8479449,144.8479449,0.466,1,0,273588.7374,0
161,1609,144.8479449,144.8479449,0.466,1,0,125883.6315,0
161,NV1,1339.843491,1339.843491,0.466,1,0,134272.7301,0
1610,167,4451.199253,4451.199253,0.466,1,0,272272.4166,0
1610,92,4451.199253,4451.199253,0.466,1,0,167818.3917,0
1611,1603,144.8479449,144.8479449,0.466,1,0,177551.7557,0
1611,1605,434.5438348,434.5438348,0.466,1,0,96184.25598,0
1611,NV1,539.1562395,539.1562395,0.466,1,0,140193.6959,0
1612,166,144.8479449,144.8479449,0.466,1,0,91248.28501,0
1613,164,434.5438348,434.5438348,0.466,1,0,47298.64137,0
1613,90,1955.447257,1955.447257,0.466,1,0,46372.00295,0
1613,91,1050.147601,1050.147601,0.466,1,0,51545.24955,0
1613,92,1303.631504,1303.631504,0.466,1,0,27090.94429,0
162,167,1810.599312,1810.599312,0.466,1,0,63911.8498,0
162,169,144.8479449,144.8479449,0.466,1,0,148160.6573,0
163,165,905.2996558,905.2996558,0.466,1,0,171299.2316,0
163,168,144.8479449,144.8479449,0.466,1,0,123190.467,0
163,OR2,1629.539381,1629.539381,0.466,1,0,314209.4067,0
164,166,434.5438348,434.5438348,0.466,1,0,58873.90963,0
164,91,3114.230816,3114.230816,0.466,1,0,26309.14554,0
165,NV1,144.8479449,144.8479449,0.466,1,0,195748.1206,0
167,NV1,4451.199253,4451.199253,0.466,1,0,315144.3857,0
168,20,144.8479449,144.8479449,0.466,1,0,372264.5469,0
168,OR2,2245.143146,2245.143146,0.466,1,0,257616.5496,0
169,NV1,144.8479449,144.8479449,0.466,1,0,196561.635,0
20,30,1629.539381,1629.539381,0.466,1,0,161624.2217,0
20,OR2,144.8479449,144.8479449,0.466,1,0,628689.4709,0
