Node_ELEC,Node_GAS,Gen_ID,Prime Mover,Fuel,Existing Units [no.],Unit Size [MW],Max New Units Annual [units/year],Max New Units Total [no.],Pmin [p.u.],Pmax [p.u.],Ramp Down Rate [p.u.],Ramp Up Rate [p.u.],Min Up Time [hours],Min Down Time [hours],is_Renewable [bin.],Heat Rate [MMBTU/MWh],is_NGFueled [bin.],Emissions Factor [kgCO2/MMBTU],Startup Cost [$/start],Econmic Lifetime [years],Lifetime [years],Startup Fuel [MMBtu/start],Install Year,Forced Retirement
1,1,GEN01,Coal,Coal,0,100,2,10,0.4,1,0.5,0.5,24,24,0,9.16,0,92,12500,30,30,1000,2060,2060
1,1,GEN02,Natural Gas CC,Natural Gas,0,100,2,10,0.5,1,0.5,0.5,4,3,0,6.36,1,53.5,6200,30,30,580,2060,2060
1,1,GEN03,Natural Gas CT,Natural Gas,1.67,100,2,10,0.4,1,0.4,0.4,22,10,0,9.72,1,53.5,10000,30,30,1100,2060,2060
1,1,GEN04,Natural Gas CC-CCS,Natural Gas,0,100,2,10,0.5,1,0.6,0.6,4,3,0,7.17,1,5.35,6200,30,30,580,2060,2060
1,1,GEN05,Biopower,Biomass,0.651,100,1,5,0.4,1,1,1,1,1,1,13.5,0,0,0,30,45,0,2060,2060
1,1,GEN06,Solar Thermal,UtilityPV,0,100,1,1,0,1,1,1,1,1,1,0,0,0,0,30,30,0,2060,2060
1,1,GEN07,Solar PV,UtilityPV,0.023,100,10,65,0,1,1,1,1,1,1,0,0,0,0,30,30,0,2060,2060
1,1,GEN08,Res Solar PV,UtilityPV,0,100,1,5,0,1,1,1,1,1,1,0,0,0,0,30,30,0,2060,2060
1,1,GEN09,Wind,LandbasedWind,0,100,5,3,0,1,1,1,1,1,1,0,0,0,0,30,30,0,2060,2060
1,1,GEN10,Geothermal,Geothermal,0,100,0,0,0,1,1,1,1,1,1,0,0,0,0,30,30,0,2060,2060
1,1,GEN11,Nuclear,Nuclear,0,1000,1,1,1,1,0.1,0.1,36,36,1,11.4,0,0,11300,30,60,0,2060,2060
1,1,GEN12,Hydropower,Hydro,0,100,0,0,0,1,1,1,1,1,1,0,0,0,0,30,100,0,2060,2060
