Node_ELEC,Node_GAS,Dem_ID,Prime Mover,Existing Units [no.],Unit Size [MW],Max New Units Annual [units/year],Max New Units Total [no.],Pmin [p.u.],Pmax [p.u.],Ramp Down Rate [p.u.],Ramp Up Rate [p.u.],Min Up Time [hours],Min Down Time [hours],P2G Efficiency [MJ gas/MJ elec],P2L Efficiency [MJ LPG/MJ elec],Economic Lifetime [years],Lifetime [years],Biomethane [bin.],Biomass [bin.],Install Year,Forced Retirement,MoleFrac_CH4 [%],MoleFrac_H2 [%]
1,1,P2G1,Biomethane,0,100,10,50,0,1,1,1,1,1,1,0,20,20,1,1,2050,2050,1,0
2,2,P2G2,Biomethane,0,100,10,50,0,1,1,1,1,1,1,0,20,20,1,1,2050,2050,1,0
3,3,P2G3,Biomethane,0,100,10,50,0,1,1,1,1,1,1,0,20,20,1,1,2050,2050,1,0
4,4,P2G4,Biomethane,0,100,10,50,0,1,1,1,1,1,1,0,20,20,1,1,2050,2050,1,0
5,5,P2G5,Biomethane,0,100,10,50,0,1,1,1,1,1,1,0,20,20,1,1,2050,2050,1,0
6,6,P2G6,Biomethane,0,100,10,50,0,1,1,1,1,1,1,0,20,20,1,1,2050,2050,1,0
7,7,P2G7,Biomethane,0,100,10,50,0,1,1,1,1,1,1,0,20,20,1,1,2050,2050,1,0
8,8,P2G8,Biomethane,0,100,10,50,0,1,1,1,1,1,1,0,20,20,1,1,2050,2050,1,0
9,9,P2G9,Biomethane,0,100,10,50,0,1,1,1,1,1,1,0,20,20,1,1,2050,2050,1,0
10,10,P2G10,Biomethane,0,100,10,50,0,1,1,1,1,1,1,0,20,20,1,1,2050,2050,1,0
11,11,P2G11,Biomethane,0,100,10,50,0,1,1,1,1,1,1,0,20,20,1,1,2050,2050,1,0
12,12,P2G12,Biomethane,0,100,10,50,0,1,1,1,1,1,1,0,20,20,1,1,2050,2050,1,0
13,13,P2G13,Biomethane,0,100,10,50,0,1,1,1,1,1,1,0,20,20,1,1,2050,2050,1,0
14,14,P2G14,Biomethane,0,100,10,50,0,1,1,1,1,1,1,0,20,20,1,1,2050,2050,1,0
15,15,P2G15,Biomethane,0,100,10,50,0,1,1,1,1,1,1,0,20,20,1,1,2050,2050,1,0
16,16,P2G16,Biomethane,0,100,10,50,0,1,1,1,1,1,1,0,20,20,1,1,2050,2050,1,0
