name,weight,p_nom,capital_cost,efficiency,p_nom_min,marginal_cost,bus,p_nom_extendable,carrier,control,p_nom_opt
AZ0 0 coal,10.0,3716.3999999999996,0.0,0.33,0.0,26.640889239766086,AZ0 0,False,coal,Slack,
AZ0 0 solar,1.0,27.2,35602.07124380445,1.0,27.2,0.0,AZ0 0,True,solar,,
AZ0 0 wind,2.0,128.1,96085.8880199663,1.0,128.1,0.0,AZ0 0,True,wind,,
AZ0 1 solar,3.0,44.8,35602.07124380445,1.0,44.8,0.0,AZ0 1,True,solar,,
AZ0 1 wind,1.0,99.2,96085.8880199663,1.0,99.2,0.0,AZ0 1,True,wind,,
AZ0 2 coal,14.0,1245.28,0.0,0.33,0.0,25.01831380562518,AZ0 2,False,coal,,
AZ0 2 ng,13.0,494.3,0.0,0.41,0.0,24.71898246637427,AZ0 2,False,ng,,
AZ0 2 solar,6.0,122.69999999999999,35602.07124380445,1.0,122.69999999999999,0.0,AZ0 2,True,solar,,
AZ0 3 coal,3.0,2409.3,0.0,0.33,0.0,24.120963508771933,AZ0 3,False,coal,,
AZ0 3 hydro,6.0,1312.0109999999997,177345.21661948637,0.9,1312.011,0.0,AZ0 3,False,hydro,,
AZ0 3 solar,2.0,55.3,35602.07124380445,1.0,55.3,0.0,AZ0 3,True,solar,,
AZ0 4 hydro,12.0,282.0,177345.2166194864,0.9,282.0,0.0,AZ0 4,False,hydro,,
AZ0 4 ng,89.0,13636.61,0.0,0.41000000000000003,0.0,26.299197595017983,AZ0 4,False,ng,,
AZ0 4 nuclear,3.0,4209.6,0.0,0.33,0.0,7.017543859649123,AZ0 4,False,nuclear,,
AZ0 4 solar,27.0,1113.0919999999999,35602.07124380445,1.0,1113.0919999999999,0.0,AZ0 4,True,solar,,
AZ0 5 hydro,9.0,374.8,177345.2166194864,0.9,374.8,0.0,AZ0 5,False,hydro,,
AZ0 5 ng,8.0,1483.3899999999999,0.0,0.41,0.0,26.760092328460043,AZ0 5,False,ng,,
AZ0 5 solar,5.0,131.5,35602.07124380445,1.0,131.5,0.0,AZ0 5,True,solar,,
AZ0 5 wind,1.0,10.0,96085.8880199663,1.0,10.0,0.0,AZ0 5,True,wind,,
CA_10 0 ng,6.0,166.97999999999996,0.0,0.41,0.0,28.188291333333336,CA_10 0,False,ng,,
CA_10 0 solar,6.0,85.093,35602.07124380445,1.0,85.093,0.0,CA_10 0,True,solar,,
CA_100 0 hydro,2.0,42.0,177345.2166194864,0.9,42.0,0.0,CA_100 0,False,hydro,,
CA_100 0 ng,15.0,1642.29,0.0,0.41,0.0,27.938383483552634,CA_100 0,False,ng,,
CA_100 1 ng,35.0,3168.3,0.0,0.41000000000000003,0.0,27.234505644455687,CA_100 1,False,ng,,
CA_110 0 hydro,48.0,2897.2999999999997,177345.21661948643,0.9000000000000002,2897.2999999999997,0.0,CA_110 0,False,hydro,,
CA_110 0 ng,30.0,2084.09,0.0,0.41,0.0,26.13764228335992,CA_110 0,False,ng,,
CA_110 0 solar,7.0,120.0,35602.07124380444,1.0,120.0,0.0,CA_110 0,True,solar,,
CA_120 0 coal,2.0,142.4,0.0,0.33,0.0,26.518995157894743,CA_120 0,False,coal,,
CA_120 0 hydro,20.0,1204.412,177345.21661948643,0.9,1204.412,0.0,CA_120 0,False,hydro,,
CA_120 0 ng,22.0,967.3800000000001,0.0,0.41,0.0,26.26931474045647,CA_120 0,False,ng,,
CA_120 0 solar,1.0,200.0,35602.07124380445,1.0,200.0,0.0,CA_120 0,True,solar,,
CA_120 1 hydro,14.0,611.105,177345.2166194864,0.9,611.105,0.0,CA_120 1,False,hydro,,
CA_120 1 ng,13.0,1099.81,0.0,0.41,0.0,27.803872823099418,CA_120 1,False,ng,,
CA_120 1 solar,2.0,45.0,35602.07124380445,1.0,45.0,0.0,CA_120 1,True,solar,,
CA_120 2 ng,43.0,6228.8099999999995,0.0,0.41,0.0,27.20622447755418,CA_120 2,False,ng,,
CA_120 2 solar,5.0,134.0,35602.07124380445,1.0,134.0,0.0,CA_120 2,True,solar,,
CA_120 2 wind,21.0,1555.3,96085.88801996628,1.0,1555.3,0.0,CA_120 2,True,wind,,
CA_130 0 coal,1.0,38.2,0.0,0.33,0.0,26.51899515789474,CA_130 0,False,coal,,
CA_130 0 hydro,9.0,357.7,177345.21661948637,0.9,357.7,0.0,CA_130 0,False,hydro,,
CA_130 0 ng,71.0,5164.920000000001,0.0,0.41000000000000003,0.0,26.356519695964923,CA_130 0,False,ng,,
CA_130 0 solar,40.0,1806.4,35602.07124380444,1.0,1806.4,0.0,CA_130 0,True,solar,,
CA_140 0 coal,5.0,92.49,0.0,0.33,0.0,26.836857417543865,CA_140 0,False,coal,,
CA_140 0 hydro,3.0,32.7,177345.2166194864,0.9,32.7,0.0,CA_140 0,False,hydro,,
CA_140 0 ng,6.0,920.2,0.0,0.41,0.0,28.370344850000006,CA_140 0,False,ng,,
CA_140 0 solar,48.0,2784.5000000000005,35602.07124380444,1.0,2784.5000000000005,0.0,CA_140 0,True,solar,,
CA_140 0 wind,12.0,1346.8,96085.88801996628,1.0,1346.8,0.0,CA_140 0,True,wind,,
CA_150 0 geothermal,9.0,429.56999999999994,0.0,0.24,0.0,0.0,CA_150 0,False,geothermal,,
CA_150 0 hydro,4.0,52.6,177345.2166194864,0.9,52.6,0.0,CA_150 0,False,hydro,,
CA_150 0 ng,28.0,2178.28,0.0,0.41000000000000003,0.0,27.17927188581573,CA_150 0,False,ng,,
CA_150 0 solar,74.0,3036.9830000000006,35602.07124380445,1.0,3036.9830000000006,0.0,CA_150 0,True,solar,,
CA_150 0 wind,25.0,882.8000000000001,96085.8880199663,1.0,882.8000000000001,0.0,CA_150 0,True,wind,,
CA_160 0 hydro,21.0,1926.6100000000001,177345.21661948637,0.9000000000000001,1926.6100000000001,0.0,CA_160 0,False,hydro,,
CA_160 0 wind,1.0,189.0,96085.8880199663,1.0,189.0,0.0,CA_160 0,True,wind,,
CA_160 1 hydro,28.0,985.3,177345.2166194864,0.9,985.3,0.0,CA_160 1,False,hydro,,
CA_160 10 geothermal,4.0,140.28,0.0,0.24,0.0,0.0,CA_160 10,False,geothermal,,
CA_160 10 hydro,6.0,70.2,177345.21661948637,0.9,70.2,0.0,CA_160 10,False,hydro,,
CA_160 10 solar,13.0,498.293,35602.07124380445,1.0,498.293,0.0,CA_160 10,True,solar,,
CA_160 10 wind,39.0,2029.1,96085.88801996628,1.0,2029.1,0.0,CA_160 10,True,wind,,
CA_160 11 solar,1.0,36.2,35602.07124380445,1.0,36.2,0.0,CA_160 11,True,solar,,
CA_160 2 hydro,23.0,1014.71,177345.2166194864,0.9,1014.71,0.0,CA_160 2,False,hydro,,
CA_160 3 hydro,10.0,302.6,177345.2166194864,0.9,302.6,0.0,CA_160 3,False,hydro,,
CA_160 3 solar,5.0,85.1,35602.07124380445,1.0,85.1,0.0,CA_160 3,True,solar,,
CA_160 3 wind,1.0,101.2,96085.8880199663,1.0,101.2,0.0,CA_160 3,True,wind,,
CA_160 5 hydro,21.0,925.4,177345.2166194864,0.9,925.4,0.0,CA_160 5,False,hydro,,
CA_160 5 solar,4.0,50.9,35602.07124380445,1.0,50.9,0.0,CA_160 5,True,solar,,
CA_160 6 hydro,6.0,308.0,177345.21661948637,0.9,308.0,0.0,CA_160 6,False,hydro,,
CA_160 7 geothermal,1.0,24.71,0.0,0.24,0.0,0.0,CA_160 7,False,geothermal,,
CA_160 7 hydro,13.0,1497.4,177345.2166194864,0.9000000000000001,1497.4,0.0,CA_160 7,False,hydro,,
CA_160 8 hydro,7.0,205.0,177345.21661948643,0.9,205.0,0.0,CA_160 8,False,hydro,,
CA_160 9 hydro,11.0,423.8,177345.21661948643,0.9,423.8,0.0,CA_160 9,False,hydro,,
CA_20 0 geothermal,9.0,727.5600000000001,0.0,0.24,0.0,0.0,CA_20 0,False,geothermal,,
CA_20 0 solar,20.0,1889.8049999999998,35602.07124380445,1.0,1889.805,0.0,CA_20 0,True,solar,,
CA_30 0 coal,3.0,223.5,0.0,0.33,0.0,26.51196280701755,CA_30 0,False,coal,,
CA_30 0 ng,21.0,3750.79,0.0,0.41,0.0,27.066926571418133,CA_30 0,False,ng,,
CA_30 0 solar,2.0,50.3,35602.07124380445,1.0,50.3,0.0,CA_30 0,True,solar,,
CA_40 0 coal,7.0,108.88,0.0,0.33,0.0,26.51020471929825,CA_40 0,False,coal,,
CA_40 0 ng,29.0,1794.1,0.0,0.4100000000000001,0.0,26.800375197049444,CA_40 0,False,ng,,
CA_40 0 solar,12.0,1115.7,35602.07124380445,1.0,1115.7,0.0,CA_40 0,True,solar,,
CA_50 0 nuclear,2.0,2323.0,0.0,0.33,0.0,7.017543859649123,CA_50 0,False,nuclear,,
CA_50 0 solar,1.0,20.6,35602.07124380445,1.0,20.6,0.0,CA_50 0,True,solar,,
CA_60 0 ng,78.0,9022.93,0.0,0.41000000000000003,0.0,27.238544336656638,CA_60 0,False,ng,,
CA_60 0 solar,2.0,65.9,35602.07124380445,1.0,65.9,0.0,CA_60 0,True,solar,,
CA_60 1 ng,15.0,2520.3999999999996,0.0,0.41000000000000003,0.0,26.45116601420218,CA_60 1,False,ng,,
CA_70 0 ng,33.0,2212.4,0.0,0.41,0.0,26.470188479904312,CA_70 0,False,ng,,
CA_80 0 ng,12.0,348.29,0.0,0.41,0.0,26.418292846734897,CA_80 0,False,ng,,
CA_80 1 ng,13.0,357.2,0.0,0.41,0.0,25.50638060482456,CA_80 1,False,ng,,
CA_90 0 ng,6.0,161.10000000000002,0.0,0.41,0.0,24.866229510964914,CA_90 0,False,ng,,
CA_90 1 ng,11.0,616.48,0.0,0.41,0.0,26.099888826900585,CA_90 1,False,ng,,
CA_90 2 ng,25.0,1845.81,0.0,0.41,0.0,26.8508140859375,CA_90 2,False,ng,,
CO0 0 coal,4.0,113.8,0.0,0.33,0.0,25.712032894736844,CO0 0,False,coal,,
CO0 0 hydro,7.0,308.9,177345.2166194864,0.9,308.9,0.0,CO0 0,False,hydro,,
CO0 0 ng,5.0,110.6,0.0,0.41,0.0,26.57732870526316,CO0 0,False,ng,,
CO0 1 coal,14.0,2190.0099999999998,0.0,0.33,0.0,24.35613704269006,CO0 1,False,coal,,
