name,bus
AZ0 0,AZ0 0
AZ0 1,AZ0 1
AZ0 2,AZ0 2
AZ0 3,AZ0 3
AZ0 4,AZ0 4
AZ0 5,AZ0 5
CA_10 0,CA_10 0
CA_100 0,CA_100 0
CA_100 1,CA_100 1
CA_110 0,CA_110 0
CA_120 0,CA_120 0
CA_120 1,CA_120 1
CA_120 2,CA_120 2
CA_130 0,CA_130 0
CA_140 0,CA_140 0
CA_150 0,CA_150 0
CA_160 0,CA_160 0
CA_160 1,CA_160 1
CA_160 10,CA_160 10
CA_160 11,CA_160 11
CA_160 12,CA_160 12
CA_160 13,CA_160 13
CA_160 2,CA_160 2
CA_160 3,CA_160 3
CA_160 4,CA_160 4
CA_160 5,CA_160 5
CA_160 6,CA_160 6
CA_160 7,CA_160 7
CA_160 8,CA_160 8
CA_160 9,CA_160 9
CA_20 0,CA_20 0
CA_30 0,CA_30 0
CA_40 0,CA_40 0
CA_50 0,CA_50 0
CA_60 0,CA_60 0
CA_60 1,CA_60 1
CA_70 0,CA_70 0
CA_80 0,CA_80 0
CA_80 1,CA_80 1
CA_90 0,CA_90 0
CA_90 1,CA_90 1
CA_90 2,CA_90 2
CO0 0,CO0 0
CO0 1,CO0 1
CO0 2,CO0 2
CO0 3,CO0 3
ID0 0,ID0 0
ID0 1,ID0 1
ID0 2,ID0 2
MT0 0,MT0 0
NM0 0,NM0 0
NV0 0,NV0 0
NV0 1,NV0 1
NV0 2,NV0 2
OR0 0,OR0 0
OR0 1,OR0 1
OR0 2,OR0 2
OR0 3,OR0 3
TX0 0,TX0 0
US0 0,US0 0
UT0 0,UT0 0
UT0 1,UT0 1
WA0 0,WA0 0
WA0 1,WA0 1
WA0 2,WA0 2
WA0 3,WA0 3
WA0 4,WA0 4
WA0 5,WA0 5
WA0 6,WA0 6
WY0 0,WY0 0
